zone_id,polygon_coordinates,min_alt_m,max_alt_m,start_time,end_time,signal_degradation_level,notes
EW001,"12.9716,77.5946;12.9726,77.5946;12.9726,77.5956;12.9716,77.5956",0,2000,00:00:00,23:59:59,full_jam,"Urban EW zone - complete signal jamming"
EW002,"12.9716,77.5946;12.9726,77.5946;12.9726,77.5956;12.9716,77.5956",0,1500,08:00:00,18:00:00,partial_gps,"Urban EW zone - partial GPS interference"
EW003,"12.9716,77.5946;12.9726,77.5946;12.9726,77.5956;12.9716,77.5956",0,1000,22:00:00,06:00:00,comm_interference,"Urban EW zone - communication interference"
EW004,"13.0827,77.5877;13.0837,77.5877;13.0837,77.5887;13.0827,77.5887",0,2500,00:00:00,23:59:59,full_jam,"Suburban EW zone - complete signal jamming"
EW005,"13.0827,77.5877;13.0837,77.5877;13.0837,77.5887;13.0827,77.5887",0,2000,06:00:00,22:00:00,partial_gps,"Suburban EW zone - partial GPS interference"
EW006,"13.0827,77.5877;13.0837,77.5877;13.0837,77.5887;13.0827,77.5887",0,1500,20:00:00,08:00:00,comm_interference,"Suburban EW zone - communication interference"
EW007,"12.9789,77.5917;12.9799,77.5917;12.9799,77.5927;12.9789,77.5927",0,3000,00:00:00,23:59:59,full_jam,"Airport EW zone - complete signal jamming"
EW008,"12.9789,77.5917;12.9799,77.5917;12.9799,77.5927;12.9789,77.5927",0,2500,06:00:00,22:00:00,partial_gps,"Airport EW zone - partial GPS interference"
EW009,"12.9789,77.5917;12.9799,77.5917;12.9799,77.5927;12.9789,77.5927",0,2000,18:00:00,06:00:00,comm_interference,"Airport EW zone - communication interference"
EW010,"13.0067,77.5611;13.0077,77.5611;13.0077,77.5621;13.0067,77.5621",0,3500,00:00:00,23:59:59,full_jam,"Military EW zone - complete signal jamming"
EW011,"13.0067,77.5611;13.0077,77.5611;13.0077,77.5621;13.0067,77.5621",0,3000,06:00:00,18:00:00,partial_gps,"Military EW zone - partial GPS interference"
EW012,"13.0067,77.5611;13.0077,77.5611;13.0077,77.5621;13.0067,77.5621",0,2500,12:00:00,00:00:00,comm_interference,"Military EW zone - communication interference"
EW013,"12.9537,77.6508;12.9547,77.6508;12.9547,77.6518;12.9537,77.6518",0,1500,00:00:00,23:59:59,partial_gps,"Rural EW zone - partial GPS interference"
EW014,"12.9537,77.6508;12.9547,77.6508;12.9547,77.6518;12.9537,77.6518",0,1000,08:00:00,18:00:00,comm_interference,"Rural EW zone - communication interference"
EW015,"12.9537,77.6508;12.9547,77.6508;12.9547,77.6518;12.9537,77.6518",0,800,20:00:00,06:00:00,minimal_interference,"Rural EW zone - minimal interference"
EW016,"13.0222,77.6433;13.0232,77.6433;13.0232,77.6443;13.0222,77.6443",0,2000,00:00:00,23:59:59,partial_gps,"Mixed terrain EW zone - partial GPS interference"
EW017,"13.0222,77.6433;13.0232,77.6433;13.0232,77.6443;13.0222,77.6443",0,1500,06:00:00,22:00:00,comm_interference,"Mixed terrain EW zone - communication interference"
EW018,"13.0222,77.6433;13.0232,77.6433;13.0232,77.6443;13.0222,77.6443",0,1200,18:00:00,06:00:00,minimal_interference,"Mixed terrain EW zone - minimal interference"
EW019,"12.9279,77.6271;12.9289,77.6271;12.9289,77.6281;12.9279,77.6281",0,2500,00:00:00,23:59:59,full_jam,"Industrial EW zone - complete signal jamming"
EW020,"12.9279,77.6271;12.9289,77.6271;12.9289,77.6281;12.9279,77.6281",0,2000,06:00:00,22:00:00,partial_gps,"Industrial EW zone - partial GPS interference"
EW021,"12.9279,77.6271;12.9289,77.6271;12.9289,77.6281;12.9279,77.6281",0,1500,18:00:00,06:00:00,comm_interference,"Industrial EW zone - communication interference"
EW022,"13.0588,77.5425;13.0598,77.5425;13.0598,77.5435;13.0588,77.5435",0,3000,00:00:00,23:59:59,full_jam,"Highland EW zone - complete signal jamming"
EW023,"13.0588,77.5425;13.0598,77.5425;13.0598,77.5435;13.0588,77.5435",0,2500,06:00:00,18:00:00,partial_gps,"Highland EW zone - partial GPS interference"
EW024,"13.0588,77.5425;13.0598,77.5425;13.0598,77.5435;13.0588,77.5435",0,2000,12:00:00,00:00:00,comm_interference,"Highland EW zone - communication interference"
